Year,StockKeyLabel,F,SSB,FishingPressureDescription,StockSizeDescription,Landings,Catches,Discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Ecoregion,landings,F/FMSy,B/BMSY
1924,her.27.25-2932,0.048,2.79,F/Fmsy,SSB/MSY Btrigger,NA,42003,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.048,2.79
1925,her.27.25-2932,0.045,2.79,F/Fmsy,SSB/MSY Btrigger,NA,39424,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.045,2.79
1926,her.27.25-2932,0.046,2.79,F/Fmsy,SSB/MSY Btrigger,NA,40365,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.046,2.79
1927,her.27.25-2932,0.048,2.79,F/Fmsy,SSB/MSY Btrigger,NA,41909,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.048,2.79
1928,her.27.25-2932,0.051,2.79,F/Fmsy,SSB/MSY Btrigger,NA,43907,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.051,2.79
1929,her.27.25-2932,0.055,2.78,F/Fmsy,SSB/MSY Btrigger,NA,47677,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.055,2.78
1930,her.27.25-2932,0.055,2.77,F/Fmsy,SSB/MSY Btrigger,NA,47093,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.055,2.77
2011,her.27.25-2932,1.106,0.48,F/Fmsy,SSB/MSY Btrigger,NA,118563,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.106,0.48
2012,her.27.25-2932,0.811,0.48,F/Fmsy,SSB/MSY Btrigger,NA,101526,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.811,0.48
2013,her.27.25-2932,0.767,0.55,F/Fmsy,SSB/MSY Btrigger,NA,100484,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.767,0.55
2014,her.27.25-2932,1.005,0.6,F/Fmsy,SSB/MSY Btrigger,NA,134482,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.005,0.6
2015,her.27.25-2932,1.352,0.55,F/Fmsy,SSB/MSY Btrigger,NA,174945,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.352,0.55
2016,her.27.25-2932,1.593,0.58,F/Fmsy,SSB/MSY Btrigger,NA,190641,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.593,0.58
2017,her.27.25-2932,1.529,0.62,F/Fmsy,SSB/MSY Btrigger,NA,199428,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.529,0.62
2018,her.27.25-2932,1.996,0.6,F/Fmsy,SSB/MSY Btrigger,NA,240738,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.996,0.6
2019,her.27.25-2932,1.852,0.51,F/Fmsy,SSB/MSY Btrigger,NA,200956,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.852,0.51
2020,her.27.25-2932,1.906,0.41,F/Fmsy,SSB/MSY Btrigger,NA,174521,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.906,0.41
2021,her.27.25-2932,1.689,0.37,F/Fmsy,SSB/MSY Btrigger,NA,128961,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.689,0.37
2022,her.27.25-2932,0.906,0.4,F/Fmsy,SSB/MSY Btrigger,NA,83411,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.906,0.4
2023,her.27.25-2932,NA,0.39,F/Fmsy,SSB/MSY Btrigger,NA,NA,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,,0.39
1983,her.27.25-2932,1.215,1.18,F/Fmsy,SSB/MSY Btrigger,NA,307601,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.215,1.18
1984,her.27.25-2932,1.226,1.02,F/Fmsy,SSB/MSY Btrigger,NA,277926,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.226,1.02
1985,her.27.25-2932,1.293,0.99,F/Fmsy,SSB/MSY Btrigger,NA,275760,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.293,0.99
1986,her.27.25-2932,1.253,0.86,F/Fmsy,SSB/MSY Btrigger,NA,240516,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.253,0.86
1987,her.27.25-2932,1.376,0.84,F/Fmsy,SSB/MSY Btrigger,NA,255498,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.376,0.84
1988,her.27.25-2932,1.446,0.89,F/Fmsy,SSB/MSY Btrigger,NA,262558,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.446,0.89
1989,her.27.25-2932,1.685,0.8,F/Fmsy,SSB/MSY Btrigger,NA,276066,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.685,0.8
1950,her.27.25-2932,0.08,2.69,F/Fmsy,SSB/MSY Btrigger,NA,66595,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.08,2.69
1951,her.27.25-2932,0.068,2.69,F/Fmsy,SSB/MSY Btrigger,NA,56712,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.068,2.69
1952,her.27.25-2932,0.064,2.69,F/Fmsy,SSB/MSY Btrigger,NA,52949,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.064,2.69
1953,her.27.25-2932,0.105,2.69,F/Fmsy,SSB/MSY Btrigger,NA,86728,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.105,2.69
1954,her.27.25-2932,0.102,2.66,F/Fmsy,SSB/MSY Btrigger,NA,83947,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.102,2.66
1955,her.27.25-2932,0.231,2.65,F/Fmsy,SSB/MSY Btrigger,NA,184885,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.231,2.65
1956,her.27.25-2932,0.234,2.55,F/Fmsy,SSB/MSY Btrigger,NA,180244,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.234,2.55
1957,her.27.25-2932,0.204,2.46,F/Fmsy,SSB/MSY Btrigger,NA,152126,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.204,2.46
1958,her.27.25-2932,0.229,2.42,F/Fmsy,SSB/MSY Btrigger,NA,165452,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.229,2.42
1959,her.27.25-2932,0.239,2.36,F/Fmsy,SSB/MSY Btrigger,NA,168709,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.239,2.36
1960,her.27.25-2932,0.225,2.31,F/Fmsy,SSB/MSY Btrigger,NA,154894,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.225,2.31
1961,her.27.25-2932,0.241,2.27,F/Fmsy,SSB/MSY Btrigger,NA,162346,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.241,2.27
1962,her.27.25-2932,0.245,2.24,F/Fmsy,SSB/MSY Btrigger,NA,162767,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.245,2.24
1963,her.27.25-2932,0.318,2.21,F/Fmsy,SSB/MSY Btrigger,NA,205899,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.318,2.21
1964,her.27.25-2932,0.288,2.14,F/Fmsy,SSB/MSY Btrigger,NA,181712,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.288,2.14
1965,her.27.25-2932,0.315,2.11,F/Fmsy,SSB/MSY Btrigger,NA,194208,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.315,2.11
1966,her.27.25-2932,0.36,2.06,F/Fmsy,SSB/MSY Btrigger,NA,216123,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.36,2.06
1967,her.27.25-2932,0.477,1.99,F/Fmsy,SSB/MSY Btrigger,NA,269141,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.477,1.99
1968,her.27.25-2932,0.626,1.85,F/Fmsy,SSB/MSY Btrigger,NA,323765,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.626,1.85
1969,her.27.25-2932,0.58,1.64,F/Fmsy,SSB/MSY Btrigger,NA,269536,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.58,1.64
1970,her.27.25-2932,0.688,1.49,F/Fmsy,SSB/MSY Btrigger,NA,288626,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.688,1.49
1971,her.27.25-2932,0.812,1.34,F/Fmsy,SSB/MSY Btrigger,NA,305211,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.812,1.34
1972,her.27.25-2932,0.772,1.28,F/Fmsy,SSB/MSY Btrigger,NA,268832,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.772,1.28
1973,her.27.25-2932,1.18,1.25,F/Fmsy,SSB/MSY Btrigger,NA,376787,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.18,1.25
1974,her.27.25-2932,1.295,1.15,F/Fmsy,SSB/MSY Btrigger,NA,368652,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.295,1.15
1975,her.27.25-2932,1.303,1.15,F/Fmsy,SSB/MSY Btrigger,NA,354851,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.303,1.15
1976,her.27.25-2932,1.202,1.05,F/Fmsy,SSB/MSY Btrigger,NA,305420,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.202,1.05
1977,her.27.25-2932,1.064,1.19,F/Fmsy,SSB/MSY Btrigger,NA,301952,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.064,1.19
1978,her.27.25-2932,0.943,1.27,F/Fmsy,SSB/MSY Btrigger,NA,278966,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.943,1.27
1979,her.27.25-2932,0.962,1.29,F/Fmsy,SSB/MSY Btrigger,NA,278182,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.962,1.29
1980,her.27.25-2932,0.985,1.18,F/Fmsy,SSB/MSY Btrigger,NA,270282,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.985,1.18
1981,her.27.25-2932,1.076,1.11,F/Fmsy,SSB/MSY Btrigger,NA,293615,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.076,1.11
1982,her.27.25-2932,1.008,1.16,F/Fmsy,SSB/MSY Btrigger,NA,273134,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.008,1.16
1996,her.27.25-2932,1.6,0.45,F/Fmsy,SSB/MSY Btrigger,NA,161148,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.6,0.45
1997,her.27.25-2932,1.705,0.43,F/Fmsy,SSB/MSY Btrigger,NA,159056,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.705,0.43
1998,her.27.25-2932,2.099,0.42,F/Fmsy,SSB/MSY Btrigger,NA,184140,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,2.099,0.42
1999,her.27.25-2932,1.864,0.36,F/Fmsy,SSB/MSY Btrigger,NA,145717,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.864,0.36
2000,her.27.25-2932,2.177,0.39,F/Fmsy,SSB/MSY Btrigger,NA,174301,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,2.177,0.39
2001,her.27.25-2932,1.893,0.36,F/Fmsy,SSB/MSY Btrigger,NA,137080,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.893,0.36
2002,her.27.25-2932,1.697,0.35,F/Fmsy,SSB/MSY Btrigger,NA,128344,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.697,0.35
1990,her.27.25-2932,1.665,0.65,F/Fmsy,SSB/MSY Btrigger,NA,227617,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.665,0.65
1991,her.27.25-2932,1.506,0.64,F/Fmsy,SSB/MSY Btrigger,NA,197610,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.506,0.64
1992,her.27.25-2932,1.421,0.59,F/Fmsy,SSB/MSY Btrigger,NA,190258,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.421,0.59
1993,her.27.25-2932,1.613,0.61,F/Fmsy,SSB/MSY Btrigger,NA,212101,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.613,0.61
1994,her.27.25-2932,1.616,0.64,F/Fmsy,SSB/MSY Btrigger,NA,218116,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.616,0.64
1995,her.27.25-2932,1.665,0.53,F/Fmsy,SSB/MSY Btrigger,NA,187409,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.665,0.53
2009,her.27.25-2932,1.186,0.56,F/Fmsy,SSB/MSY Btrigger,NA,135659,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.186,0.56
2010,her.27.25-2932,1.204,0.52,F/Fmsy,SSB/MSY Btrigger,NA,137189,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.204,0.52
2006,her.27.25-2932,1.069,0.47,F/Fmsy,SSB/MSY Btrigger,NA,113536,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.069,0.47
2003,her.27.25-2932,1.323,0.37,F/Fmsy,SSB/MSY Btrigger,NA,112118,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.323,0.37
2004,her.27.25-2932,1.036,0.38,F/Fmsy,SSB/MSY Btrigger,NA,95151,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.036,0.38
2005,her.27.25-2932,0.934,0.43,F/Fmsy,SSB/MSY Btrigger,NA,91094,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.934,0.43
2007,her.27.25-2932,0.991,0.48,F/Fmsy,SSB/MSY Btrigger,NA,115790,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,0.991,0.48
2008,her.27.25-2932,1.084,0.47,F/Fmsy,SSB/MSY Btrigger,NA,126363,NA,2023,NA,1.2,1,0.5,1,1,Baltic Sea,NA,1.084,0.47
1979,her.27.28,0.505,40819,F,SSB,17142,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.803571429,0.559877652
1982,her.27.28,0.436,39521,F,SSB,12777,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.557142857,0.542074149
1983,her.27.28,0.467,48823,F,SSB,15541,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.667857143,0.669661349
1980,her.27.28,0.429,40465,F,SSB,14998,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.532142857,0.555022152
1981,her.27.28,0.47,43263,F,SSB,16769,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.678571429,0.593399811
1977,her.27.28,0.66,52661,F,SSB,24186,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,2.357142857,0.722303757
1978,her.27.28,0.474,43918,F,SSB,16728,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.692857143,0.602383859
2005,her.27.28,0.496,76018,F,SSB,32225,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.771428571,1.0426708
2006,her.27.28,0.432,74530,F,SSB,31232,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.542857143,1.022261237
2007,her.27.28,0.465,77550,F,SSB,33742,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.660714286,1.063683871
2008,her.27.28,0.344,90538,F,SSB,31137,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.228571429,1.241828631
2009,her.27.28,0.348,92370,F,SSB,32553,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.242857143,1.266956534
2010,her.27.28,0.316,92415,F,SSB,30175,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.128571429,1.267573758
2011,her.27.28,0.301,97053,F,SSB,29638,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.075,1.331189049
2012,her.27.28,0.266,96460,F,SSB,28115,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.95,1.323055399
2013,her.27.28,0.231,105406,F,SSB,26511,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.825,1.445759666
2014,her.27.28,0.234,110532,F,SSB,26253,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.835714286,1.516068416
2015,her.27.28,0.285,109481,F,SSB,32851,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.017857143,1.501652791
2016,her.27.28,0.287,98502,F,SSB,30865,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.025,1.351063684
2017,her.27.28,0.267,98091,F,SSB,28058,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.953571429,1.345426365
2018,her.27.28,0.235,107635,F,SSB,25747,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.839285714,1.476332862
2019,her.27.28,0.257,109524,F,SSB,28922,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.917857143,1.502242583
2020,her.27.28,0.268,124925,F,SSB,33215,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.957142857,1.713484302
2021,her.27.28,0.283,125901,F,SSB,35758,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.010714286,1.726871219
2022,her.27.28,0.267,145915,F,SSB,41117,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.953571429,2.001385327
2023,her.27.28,NA,139870,F,SSB,NA,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,,1.918471477
1984,her.27.28,0.565,39763,F,SSB,15843,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,2.017857143,0.545393446
1985,her.27.28,0.489,52766,F,SSB,15575,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.746428571,0.723743948
1986,her.27.28,0.416,62417,F,SSB,16927,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.485714286,0.856118068
1987,her.27.28,0.326,46952,F,SSB,12884,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.164285714,0.643998519
1988,her.27.28,0.354,83298,F,SSB,16791,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.264285714,1.142524037
1989,her.27.28,0.312,55427,F,SSB,16783,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.114285714,0.760242501
1990,her.27.28,0.239,68014,F,SSB,14931,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.853571429,0.932887103
1991,her.27.28,0.273,69219,F,SSB,14791,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.975,0.949415008
1992,her.27.28,0.284,88986,F,SSB,21700,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.014285714,1.220541237
1993,her.27.28,0.262,103498,F,SSB,22700,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.935714286,1.41958934
1994,her.27.28,0.261,112107,F,SSB,24300,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,0.932142857,1.53767128
1995,her.27.28,0.327,109167,F,SSB,32656,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.167857143,1.497345934
1996,her.27.28,0.361,101788,F,SSB,32584,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.289285714,1.396134802
1997,her.27.28,0.424,96309,F,SSB,39843,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.514285714,1.320984268
1998,her.27.28,0.39,85107,F,SSB,29443,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.392857143,1.16733647
1999,her.27.28,0.385,85210,F,SSB,31403,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.375,1.168749228
2000,her.27.28,0.397,85723,F,SSB,34069,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.417857143,1.17578559
2001,her.27.28,0.46,85316,F,SSB,38785,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.642857143,1.170203136
2002,her.27.28,0.443,91828,F,SSB,39701,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.582142857,1.259522405
2003,her.27.28,0.473,91994,F,SSB,40803,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.689285714,1.261799279
2004,her.27.28,0.543,79559,F,SSB,39116,NA,NA,2023,0.49,0.35,72907,52076,0.28,72907,Baltic Sea,NA,1.939285714,1.091239524
1999,ple.27.21-23,1.063,4791,F,SSB,3406,5719,2313,2023,1,0.81,4730,3635,0.31,4730,Baltic Sea,NA,3.429032258,1.012896406
2000,ple.27.21-23,1.117,5333,F,SSB,3935,6248,2313,2023,1,0.81,4730,3635,0.31,4730,Baltic Sea,NA,3.603225806,1.127484144
2001,ple.27.21-23,0.998,6067,F,SSB,4054,6367,2313,2023,1,0.81,4730,3635,0.31,4730,Baltic Sea,NA,3.219354839,1.282663848
2002,ple.27.21-23,0.951,6404,F,SSB,3939,8296,4357,2023,1,0.81,4730,3635,0.31,4730,Baltic Sea,NA,3.067741935,1.353911205
